,code,source,proba1an
392,CPCF_INTRA_2_2026,ZoneEarthquake,0.00124785
393,CGR5_17_8199,ZoneEarthquake,0.000483708
394,CPCF_INTRA_2_2027,ZoneEarthquake,0.00119404
395,CPCF_INTRA_12_7209,DomainEarthquake,0.000314083
396,CPCF_INTRA_12_7208,DomainEarthquake,0.000291786
397,CPCF_INTER_12_6189,DomainEarthquake,0.00281778
398,CPCF_INTER_12_6188,DomainEarthquake,0.00267456
399,CPHL_INTRA_4_1708,ZoneEarthquake,0.000942556
400,CGR5_2_2704,ZoneEarthquake,0.000479404
401,CGR5_2_2703,ZoneEarthquake,0.000496731
402,CGR5_2_2702,ZoneEarthquake,0.000512446
403,CGR5_2_2701,ZoneEarthquake,0.000527209
404,CGR5_2_2700,ZoneEarthquake,0.000543542
405,CGR5_3_1006,ZoneEarthquake,0.000272733
406,CGR5_3_1007,ZoneEarthquake,0.000285492
407,CGR5_3_1004,ZoneEarthquake,0.000261171
408,CGR5_3_1005,ZoneEarthquake,0.000265297
409,CGR5_3_1008,ZoneEarthquake,0.000304297
410,CGR5_3_1009,ZoneEarthquake,0.000326243
411,CGR5_4_1234,ZoneEarthquake,0.000216134
412,CGR5_4_1235,ZoneEarthquake,0.000211387
413,CGR5_4_1236,ZoneEarthquake,0.000209278
414,CGR5_4_1237,ZoneEarthquake,0.000209717
415,CGR5_4_1230,ZoneEarthquake,0.000265171
416,CGR5_4_1231,ZoneEarthquake,0.000251752
417,CGR5_4_1232,ZoneEarthquake,0.000236538
418,CGR5_4_1233,ZoneEarthquake,0.000224255
419,CGR5_4_1238,ZoneEarthquake,0.000212658
420,CGR5_4_1239,ZoneEarthquake,0.000217416
421,CIZU_3_2089,ZoneEarthquake,0.000695779
422,CIZU_3_2088,ZoneEarthquake,0.00087302
423,CPCF_INTER_12_6231,DomainEarthquake,0.00367602
424,CPCF_INTER_12_6230,DomainEarthquake,0.00372255
425,CIZU_3_2081,ZoneEarthquake,0.00108143
426,CIZU_3_2080,ZoneEarthquake,0.000949591
427,CIZU_3_2083,ZoneEarthquake,0.00085938
428,CIZU_3_2082,ZoneEarthquake,0.00102909
429,CIZU_3_2085,ZoneEarthquake,0.00076934
430,CIZU_3_2084,ZoneEarthquake,0.00073927
431,CIZU_3_2087,ZoneEarthquake,0.000957918
432,CIZU_3_2086,ZoneEarthquake,0.000893233
433,CPCF_INTRA_3_2656,ZoneEarthquake,0.000410173
434,CPCF_INTRA_3_2657,ZoneEarthquake,0.00038884
435,CPCF_INTRA_3_2654,ZoneEarthquake,0.000442144
436,CPCF_INTRA_3_2655,ZoneEarthquake,0.000427374
437,CPCF_INTRA_3_2652,ZoneEarthquake,0.000484629
438,CPCF_INTRA_3_2653,ZoneEarthquake,0.000459558
439,CPCF_INTRA_3_2650,ZoneEarthquake,0.000551127
440,CPCF_INTRA_3_2651,ZoneEarthquake,0.000517358
441,CPCF_INTRA_3_2658,ZoneEarthquake,0.000365113
442,CPCF_INTRA_3_2659,ZoneEarthquake,0.000342572
443,CGR5_20_8426,ZoneEarthquake,0.000833422
444,CPCF_INTRA_13_5880,DomainEarthquake,0.000327459
445,CPHL_INTER_6_4467,ZoneEarthquake,0.00124553
446,CPHL_INTER_6_4466,ZoneEarthquake,0.00131714
447,CPHL_INTER_6_4465,ZoneEarthquake,0.00142402
448,CPHL_INTER_6_4464,ZoneEarthquake,0.00150743
449,CPHL_INTER_6_4463,ZoneEarthquake,0.00150455
450,CPHL_INTER_6_4462,ZoneEarthquake,0.00140398
451,CPHL_INTER_6_4461,ZoneEarthquake,0.00125049
452,CPHL_INTER_6_4460,ZoneEarthquake,0.00110167
453,CPHL_INTER_6_4469,ZoneEarthquake,0.00119529
454,CPHL_INTER_6_4468,ZoneEarthquake,0.00121621
455,CJPS_1_469,ZoneEarthquake,0.000504077
456,CJPS_1_468,ZoneEarthquake,0.000551163
457,CJPS_1_461,ZoneEarthquake,0.000460577
458,CJPS_1_460,ZoneEarthquake,0.000469485
459,CJPS_1_463,ZoneEarthquake,0.000973938
460,CJPS_1_462,ZoneEarthquake,0.000977471
461,CJPS_1_465,ZoneEarthquake,0.000849175
462,CJPS_1_464,ZoneEarthquake,0.000931478
